transaction_id,merchant_id,category,region,channel,merchant_segment,transaction_date,amount,status
75,2363,Travel,East,Online,Small,2025-10-27,4256.93,Declined
76,1091,Restaurant,East,In-Store,Medium,2025-09-25,823.31,Approved
77,2390,Grocery,West,Online,Small,2025-11-21,2098.63,Approved
78,1955,Retail,South,Online,Medium,2026-01-01,3610.57,Approved
79,2478,Electronics,South,Online,Medium,2025-12-20,3772.23,Approved
80,2451,Electronics,East,Online,Small,2026-05-20,10551.36,Approved
81,1508,Restaurant,East,In-Store,Small,2026-06-29,216.49,Approved
82,1775,Restaurant,North,In-Store,Small,2025-09-12,259.92,Approved
83,2966,Grocery,North,In-Store,Medium,2025-12-30,393.92,Approved
84,1034,Fuel,North,Online,Small,2026-05-14,3154.57,Approved
85,1205,Retail,North,In-Store,Large,2026-02-02,842.12,Approved
86,2104,Retail,,In-Store,Small,2026-02-08,3999.13,Approved
87,2955,Restaurant,East,Online,Small,2025-09-06,475.33,Approved
88,2585,Retail,East,Online,Large,2026-02-10,1425.68,Approved
89,2895,Retail,North,In-Store,Small,2025-12-13,1987.31,Approved
90,2411,RETAIL,West,In-Store,Small,2026-01-04,506.35,Approved
91,2025,Grocery,West,In-Store,Medium,2026-05-16,1301.75,Approved
92,2021,Retail,South,Online,Small,2026-03-06,777.53,Approved
93,2413,Restaurant,,Online,Small,2025-10-09,507.45,Approved
94,1565,Retail,East,Online,Medium,2026-02-03,1490.29,Approved
95,2129,Electronics,East,In-Store,Large,2025-11-22,22219.91,Approved
96,2795,Retail,East,In-Store,Medium,2025-09-07,1298.49,Approved
97,2845,Fuel,East,In-Store,Small,2025-12-14,6197.19,Approved
98,2500,Travel,North,In-Store,Medium,2025-11-19,3467.66,Approved
99,1702,Retail,South,In-Store,Large,2026-04-23,3880.67,Declined
100,1401,Restaurant,North,Online,Small,2026-02-16,1004.63,Approved
101,1729,Grocery,West,In-Store,Medium,2025-09-02,1324.71,Approved
102,2579,Travel,West,In-Store,Medium,2025-12-19,4916.71,Approved
103,1161,Grocery,West,Online,Small,2025-07-12,796.66,Approved
104,1201,Grocery,North,Online,Small,2025-07-29,216.51,Approved
105,2981,Grocery,South,Online,Large,2025-08-27,1170.94,Approved
106,1995,Restaurant,West,Online,Medium,2026-06-27,1629.58,Approved
107,1269,Electronics,North,In-Store,Small,2026-02-26,4619.3,Approved
108,2886,Travel,West,Online,Small,2025-10-04,5838.84,Approved
109,1815,Retail,,In-Store,Small,2025-07-13,876.08,Approved
110,2294,Travel,West,Online,Large,2026-04-25,11013.96,Declined
111,1455,Grocery,North,In-Store,Large,2025-10-19,2155.66,Approved
112,2485,Restaurant,East,In-Store,Small,2025-07-26,1648.06,Approved
113,2750,Retail,West,Online,Small,2025-10-31,2831.68,Approved
114,2275,Retail,West,In-Store,Small,2026-02-21,2581.22,Approved
115,2016,Retail,South,In-Store,Small,2025-08-14,780.85,Declined
116,2725,Restaurant,North,In-Store,Small,2025-10-04,1277.51,Approved
117,1295,Restaurant,West,Online,Medium,2025-12-13,374.87,Declined
118,2748,Restaurant,North,Online,Small,2025-11-19,237.81,Approved
119,1719,Retail,West,In-Store,Small,2026-06-23,1967.2,Approved
120,2772,Electronics,South,In-Store,Small,2025-08-11,5303.25,Approved
121,1337,Restaurant,West,In-Store,Medium,2025-08-24,357.68,Approved
122,1878,Retail,,In-Store,Small,2025-07-06,1839.65,Approved
123,2076,Retail,West,In-Store,Small,2025-07-02,1764.7,Approved
124,1791,Electronics,South,In-Store,Small,2025-10-19,602.47,Approved
125,2945,Restaurant,West,In-Store,Medium,2025-12-10,718.69,Declined
126,1216,Restaurant,North,In-Store,Small,2025-07-28,1467.49,Approved
127,1763,Restaurant,South,In-Store,Medium,2025-09-11,483.08,Approved
128,1187,Fuel,West,Online,Small,2025-09-20,2571.62,Approved
129,1379,Travel,North,Online,Small,2025-09-20,6607.61,Approved
130,1492,Restaurant,East,In-Store,Small,2025-09-26,644.89,Declined
131,2064,Retail,South,In-Store,Small,2025-09-01,1615.93,Approved
132,2180,Restaurant,South,Online,Small,2025-12-08,1147.89,Approved
133,1014,Restaurant,East,Online,Small,2026-01-18,537.79,Declined
134,2836,Electronics,North,In-Store,Small,2026-05-03,1679.64,Approved
135,1064,Retail,North,Online,Small,2026-01-29,672.92,Approved
136,2880,Grocery,North,Online,Small,2025-07-18,1106.74,Approved
137,2862,Retail,South,In-Store,Medium,2026-03-24,1689.21,Approved
138,1520,Travel,North,Online,Small,2025-07-09,5483.31,Approved
139,2367,Retail,East,Online,Small,2025-09-01,2569.48,Declined
140,2152,Retail,East,In-Store,Small,2026-05-11,2230.0,Approved
141,1647,Grocery,South,Online,Medium,2025-08-03,2852.24,Approved
142,2495,Restaurant,East,Online,Small,2025-07-08,1776.62,Approved
143,2086,Grocery,East,In-Store,Medium,2026-05-01,1300.35,Approved
144,2162,Electronics,North,In-Store,Medium,2026-03-24,8214.85,Approved
145,2522,Restaurant,West,In-Store,Large,2026-03-19,273.2,Approved
146,1592,Electronics,North,In-Store,Small,2026-05-16,3527.72,Approved
147,1391,Restaurant,South,In-Store,Medium,2025-11-06,771.08,Approved
148,2698,Retail,North,Online,Small,2026-06-28,2217.26,Declined
149,1418,Grocery,East,Online,Medium,2025-08-01,564.74,Approved
150,1288,Travel,South,In-Store,Small,2026-01-27,8720.5,Approved
151,1378,Restaurant,North,Online,Medium,2026-03-07,521.63,Approved
152,2796,Electronics,North,Online,Medium,2025-09-27,2637.49,Approved
153,2513,Fuel,North,In-Store,Medium,2025-10-29,3445.54,Approved
154,1230,Restaurant,East,In-Store,Medium,2026-06-03,1014.91,Approved
155,2017,Electronics,East,Online,Medium,2026-06-28,2271.68,Approved
156,1040,Travel,North,Online,Large,2026-02-25,8157.4,Declined
157,2051,Fuel,North,In-Store,Small,2025-12-27,1228.02,Approved
158,1134,Restaurant,East,In-Store,Small,2025-10-09,782.75,Approved
159,1200,Electronics,West,In-Store,Small,2025-09-11,4366.72,Approved
160,2863,Restaurant,East,In-Store,Medium,2026-03-18,758.82,Approved
161,1779,Electronics,East,Online,Small,2025-09-18,7456.4,Approved
162,1929,Grocery,East,Online,Medium,2026-04-04,415.1,Declined
163,2056,Retail,North,Online,Small,2026-05-10,1014.77,Approved
164,2071,Restaurant,West,In-Store,Small,2025-07-16,2219.22,Approved
165,1502,Electronics,North,In-Store,Small,2026-05-09,5335.23,Approved
166,1406,Grocery,West,In-Store,Medium,2025-08-14,1299.53,Approved
167,2597,Retail,West,In-Store,Medium,2026-03-15,857.28,Approved
168,2751,Retail,South,In-Store,Small,2025-10-11,1054.61,Approved
169,1804,Electronics,North,Online,Small,2026-04-13,733.56,Approved
170,1098,Retail,East,Online,Small,2025-10-27,1560.61,Approved
171,1683,Restaurant,West,In-Store,Small,2025-09-19,578.5,Declined
172,2895,Fuel,West,In-Store,Large,2026-05-16,2079.02,Approved
173,1725,Retail,East,Online,Small,2025-08-19,235.65,Approved
174,2570,Retail,South,In-Store,Small,2026-05-02,2794.32,Approved
175,1960,Restaurant,South,In-Store,Medium,2026-03-12,1983.84,Approved
176,2762,Electronics,West,In-Store,Medium,2025-11-05,7399.13,Approved
177,1612,RESTAURANT,West,Online,Large,2026-01-26,1205.11,Approved
178,2966,Grocery,North,In-Store,Small,2025-12-26,1338.59,Approved
179,2485,Electronics,East,In-Store,Small,2026-06-07,2685.25,Approved
180,1642,Restaurant,West,In-Store,Medium,2026-03-23,1180.84,Approved
181,2792,Electronics,West,Online,Small,2025-08-09,3669.77,Approved
182,2028,Retail,North,In-Store,Medium,2025-10-19,4506.49,Approved
183,2241,Grocery,North,In-Store,Medium,2026-03-18,2332.86,Approved
184,1502,Retail,South,In-Store,Small,2025-07-19,555.1,Approved
185,1766,Grocery,East,In-Store,Small,2025-12-12,230.12,Approved
186,1397,Retail,East,In-Store,Small,2025-10-02,1727.47,Approved
187,1870,Restaurant,North,Online,Small,2025-11-04,1213.35,Approved
188,1794,Fuel,East,In-Store,Large,2026-01-11,2941.05,Approved
189,1392,Restaurant,West,Online,Small,2025-11-21,563.71,Approved
190,1206,Electronics,North,In-Store,Small,2026-01-16,6395.4,Approved
191,2038,Restaurant,North,Online,Large,2026-03-10,329.81,Approved
192,2881,Retail,West,In-Store,Medium,2025-08-29,1400.86,Approved
193,2577,Electronics,East,Online,Small,2026-03-29,5046.14,Approved
194,1891,Restaurant,West,In-Store,Medium,2025-10-23,1012.4,Approved
195,2484,Electronics,East,In-Store,Large,2025-09-23,6590.83,Approved
196,2714,Retail,South,In-Store,Large,2025-10-22,374.76,Approved
197,2598,Retail,West,In-Store,Small,2026-03-15,2168.72,Approved
198,1863,Grocery,West,In-Store,Small,2026-02-13,947.32,Approved
199,1742,Retail,South,Online,Medium,2025-09-20,1110.78,Approved
200,2264,Retail,West,In-Store,Small,2026-02-05,2063.7,Approved
201,1563,Grocery,West,Online,Small,2026-02-03,469.68,Approved
202,2020,Retail,South,In-Store,Small,2025-12-27,1799.94,Declined
203,1095,Restaurant,West,In-Store,Small,2026-03-21,361.46,Approved
204,2923,Electronics,North,In-Store,Small,2026-02-21,2117.99,Approved
205,2757,Electronics,North,In-Store,Medium,2026-05-24,18149.83,Approved
206,1484,Retail,North,Online,Large,2026-04-19,1385.18,Declined
207,2430,Travel,South,In-Store,Medium,2026-03-14,2673.7,Approved
208,1230,Grocery,East,In-Store,Small,2025-10-20,847.48,Approved
209,1748,Travel,East,Online,Large,2026-05-22,7359.19,Declined
210,2678,Retail,West,In-Store,Small,2025-12-13,2271.72,Approved
211,2194,Fuel,North,In-Store,Medium,2026-05-24,2107.6,Approved
212,1540,Restaurant,East,In-Store,Medium,2026-04-20,2477.96,Declined
213,2059,Travel,East,In-Store,Small,2026-02-20,5221.18,Approved
214,1524,Electronics,South,In-Store,Small,2026-02-07,7569.95,Declined
215,2183,GROCERY,East,In-Store,Small,2026-01-18,1898.04,Approved
216,2862,Electronics,South,In-Store,Small,2025-11-20,2627.8,Declined
217,2722,Retail,East,Online,Medium,2026-04-18,764.78,Approved
218,2266,Retail,West,In-Store,Medium,2026-05-01,719.78,Approved
219,2109,Electronics,West,In-Store,Small,2025-08-06,10569.09,Approved
220,2819,Retail,East,Online,Large,2025-07-26,6937.63,Approved
221,1577,Grocery,North,Online,Large,2025-10-17,416.48,Declined
222,1681,Restaurant,West,In-Store,Medium,2025-09-28,1166.03,Approved
223,1556,Grocery,East,In-Store,Medium,2026-06-16,1486.22,Approved
224,2597,Travel,West,In-Store,Small,2026-02-01,5037.26,Approved
225,2976,Retail,North,In-Store,Medium,2026-02-06,2025.02,Approved
226,2012,Retail,West,In-Store,Small,2026-05-17,1364.98,Approved
227,1645,Grocery,East,Online,Medium,2026-03-17,224.44,Approved
228,1795,Restaurant,East,Online,Medium,2025-10-02,199.11,Approved
229,2051,Grocery,North,Online,Small,2026-02-03,2813.77,Approved
230,2643,Travel,East,Online,Small,2025-08-27,15981.63,Approved
231,2579,Restaurant,North,In-Store,Small,2025-07-05,357.76,Approved
232,2363,Grocery,North,Online,Small,2026-03-25,586.95,Approved
233,2821,Retail,South,In-Store,Medium,2025-11-17,1853.4,Approved
234,2981,Retail,North,Online,Small,2026-03-22,414.98,Approved
235,2354,Retail,North,In-Store,Small,2025-07-11,990.0,Declined
236,2663,Grocery,East,In-Store,Small,2026-05-03,1484.74,Declined
237,2529,Fuel,West,In-Store,Medium,2026-03-28,3655.7,Approved
238,2371,Restaurant,North,Online,Small,2025-09-09,1051.68,Approved
239,2496,Retail,West,Online,Medium,2025-10-10,2775.52,Approved
240,2254,Restaurant,South,In-Store,Small,2025-08-11,671.91,Approved
241,1189,Grocery,West,In-Store,Medium,2025-08-09,1948.92,Approved
242,2248,Retail,North,Online,Small,2025-10-17,929.46,Approved
243,2408,Grocery,North,Online,Medium,2025-09-18,390.53,Approved
244,2400,Retail,West,Online,Small,2025-10-25,3268.37,Approved
245,2306,Electronics,South,In-Store,Small,2026-03-23,4348.98,Approved
246,2981,Travel,South,In-Store,Small,2026-05-18,5698.28,Approved
247,1632,Fuel,South,Online,Small,2025-08-07,676.51,Approved
248,1627,Restaurant,West,In-Store,Large,2025-11-08,895.3,Approved
249,1972,Travel,North,In-Store,Medium,2026-02-03,12099.66,Approved
250,2768,Grocery,East,Online,Small,2026-03-05,637.21,Approved
251,2282,Grocery,South,Online,Medium,2025-11-27,1082.61,Approved
252,2382,Restaurant,South,Online,Small,2026-03-22,675.59,Approved
253,1709,Fuel,South,In-Store,Small,2026-04-23,1269.19,Approved
254,2479,Retail,West,In-Store,Small,2025-09-17,1201.09,Approved
255,2434,Retail,North,In-Store,Small,2026-06-21,1605.88,Approved
256,1648,Retail,South,Online,Small,2026-01-28,1512.65,Approved
257,1317,Travel,South,Online,Medium,2026-01-02,927.33,Declined
258,2700,Grocery,East,Online,Small,2026-05-22,2417.51,Approved
259,2248,Retail,South,In-Store,Small,2025-09-09,3121.34,Declined
260,2842,Retail,East,In-Store,Small,2026-02-18,1364.05,Approved
261,2257,Travel,South,In-Store,Large,2025-07-30,6654.48,Declined
262,1683,Retail,East,Online,Small,2025-12-25,1230.69,Approved
263,1663,Fuel,South,In-Store,Medium,2026-02-02,1715.23,Approved
264,2998,Electronics,North,Online,Medium,2026-03-30,7252.59,Approved
265,2850,Retail,West,In-Store,Large,2025-09-30,210.7,Approved
266,2397,Restaurant,West,In-Store,Medium,2026-01-30,417.22,Approved
267,2695,Fuel,East,In-Store,Small,2026-06-10,382.46,Approved
268,2631,Restaurant,East,Online,Large,2025-09-15,844.99,Approved
269,2495,Retail,North,In-Store,Medium,2025-12-03,2174.38,Approved
270,2256,Restaurant,West,Online,Large,2025-11-14,442.58,Approved
271,2715,Restaurant,North,In-Store,Small,2025-07-14,247.52,Approved
272,2136,Electronics,South,In-Store,Medium,2025-09-26,2182.16,Approved
273,2853,Travel,West,In-Store,Small,2025-09-25,14363.49,Approved
274,2520,Fuel,East,In-Store,Medium,2026-03-10,2046.57,Approved
275,1441,Restaurant,South,Online,Medium,2025-09-04,1016.03,Approved
276,1563,Retail,West,Online,Small,2026-01-16,3229.26,Approved
277,2291,Fuel,West,In-Store,Large,2025-10-12,715.09,Approved
278,2533,Electronics,North,Online,Medium,2025-10-22,8838.6,Approved
279,2830,Grocery,North,Online,Small,2026-01-05,1647.65,Approved
280,2409,Restaurant,South,In-Store,Medium,2025-12-19,3317.27,Approved
281,2410,Grocery,South,In-Store,Small,2026-01-16,659.79,Approved
282,2136,Retail,East,In-Store,Medium,2025-07-28,2784.12,Approved
283,2636,Travel,South,Online,Small,2026-05-15,3516.33,Declined
284,2648,Grocery,South,In-Store,Large,2025-07-15,1381.57,Approved
285,1951,Grocery,South,In-Store,Small,2026-05-13,364.07,Approved
286,2104,Grocery,North,In-Store,Medium,2026-05-15,600.68,Approved
287,1698,GROCERY,North,Online,Medium,2025-11-18,544.48,Approved
288,1112,Restaurant,South,Online,Small,2025-09-17,1463.79,Approved
289,1001,Retail,East,In-Store,Medium,2025-08-10,1031.15,Approved
290,1641,Grocery,South,Online,Small,2025-07-12,931.32,Approved
291,1219,Retail,South,Online,Small,2025-12-08,890.98,Approved
292,2589,Retail,South,Online,Small,2025-11-30,176.33,Approved
293,1854,Restaurant,West,Online,Small,2025-12-19,1142.6,Approved
294,2759,Retail,North,In-Store,Small,2026-05-24,742.38,Approved
295,2248,Fuel,South,In-Store,Small,2025-10-01,3098.39,Approved
296,1384,Retail,South,Online,Large,2026-05-03,3736.8,Approved
297,2426,Travel,West,Online,Large,2025-12-08,21150.57,Declined
298,2661,Grocery,South,In-Store,Medium,2025-09-06,1194.37,Approved
299,2153,Restaurant,East,Online,Small,2026-05-08,393.08,Approved
300,2076,Fuel,North,In-Store,Large,2026-03-01,1511.14,Approved
301,2707,Retail,North,In-Store,Medium,2025-08-08,815.77,Declined
302,1729,Electronics,South,Online,Small,2026-03-10,3062.9,Approved
303,2695,RESTAURANT,East,In-Store,Medium,2025-12-21,1055.63,Approved
304,2733,Restaurant,East,Online,Small,2025-09-12,600.65,Approved
305,2439,Retail,West,Online,Small,2026-04-16,1023.36,Approved
306,1246,Retail,West,Online,Medium,2026-06-19,1742.72,Approved
307,1835,Electronics,North,In-Store,Small,2025-12-06,1094.7,Approved
308,2462,Restaurant,North,Online,Small,2026-02-01,378.85,Approved
309,1202,Grocery,West,In-Store,Large,2026-05-05,1177.15,Approved
310,2207,Restaurant,South,In-Store,Medium,2025-07-19,1442.24,Approved
311,1122,Electronics,West,In-Store,Small,2026-03-02,2965.77,Approved
312,1400,Grocery,West,Online,Small,2026-02-11,731.73,Approved
313,1766,Retail,North,In-Store,Small,2025-10-14,372.0,Approved
314,1293,Restaurant,East,In-Store,Large,2026-06-24,1208.22,Approved
315,1279,Grocery,North,Online,Large,2026-03-25,978.55,Approved
316,2860,Restaurant,South,In-Store,Small,2026-06-01,2384.88,Approved
317,1883,Restaurant,West,In-Store,Medium,2025-11-24,1620.0,Declined
318,2633,Grocery,South,In-Store,Medium,2025-11-01,1234.35,Approved
319,1197,Fuel,North,Online,Medium,2025-11-21,938.89,Approved
320,1981,Electronics,North,In-Store,Small,2026-04-09,18362.56,Approved
321,2930,Travel,North,In-Store,Small,2025-11-17,9806.82,Approved
322,2534,Travel,South,Online,Small,2026-06-13,30433.97,Approved
323,1751,Fuel,East,In-Store,Small,2025-10-09,621.01,Approved
324,1143,Travel,East,Online,Medium,2026-05-27,11414.86,Declined
325,1608,Retail,East,Online,Small,2026-01-16,1172.01,Approved
326,2224,Fuel,South,In-Store,Small,2025-12-11,224.24,Declined
327,2147,Restaurant,North,Online,Small,2025-10-18,246.83,Approved
328,1186,Restaurant,North,In-Store,Small,2026-06-21,339.7,Approved
329,2349,Grocery,West,Online,Small,2026-01-17,892.61,Approved
330,1463,Restaurant,North,In-Store,Large,2025-12-30,1090.66,Approved
331,2372,Retail,North,In-Store,Small,2025-07-17,225.22,Approved
332,2794,Retail,North,In-Store,Small,2025-07-12,2621.53,Approved
333,1659,Travel,South,In-Store,Small,2026-03-26,12302.33,Approved
334,1763,Fuel,West,In-Store,Medium,2026-02-14,1507.99,Approved
335,1954,Restaurant,South,In-Store,Small,2025-10-05,305.44,Approved
336,2955,Retail,East,Online,Small,2026-05-31,2188.34,Approved
337,1402,Restaurant,West,In-Store,Medium,2025-10-28,513.82,Approved
338,2369,Grocery,West,In-Store,Small,2025-10-26,1941.84,Approved
339,2986,Grocery,North,In-Store,Small,2026-04-21,1675.7,Approved
340,2534,Retail,South,In-Store,Small,2026-02-06,2724.81,Approved
341,1146,Retail,West,In-Store,Small,2026-06-16,4877.76,Declined
342,2171,Grocery,West,In-Store,Medium,2025-07-25,1051.28,Approved
343,1863,Travel,East,In-Store,Small,2025-07-12,4041.79,Approved
344,2734,Restaurant,North,In-Store,Medium,2026-03-21,649.33,Approved
345,2843,Retail,North,Online,Medium,2026-01-09,601.84,Approved
346,1488,Retail,South,Online,Large,2026-03-13,2094.79,Approved
347,1928,Fuel,North,Online,Medium,2025-08-02,64.65,Approved
348,2959,Electronics,North,In-Store,Small,2026-05-12,10537.89,Approved
349,2663,Grocery,East,Online,Medium,2025-11-24,853.46,Approved
350,1550,ELECTRONICS,South,In-Store,Small,2025-12-16,9338.22,Approved
351,1337,Grocery,North,In-Store,Medium,2025-09-13,2529.36,Approved
352,1871,Fuel,North,Online,Large,2025-12-02,1658.18,Approved
353,1640,Restaurant,North,In-Store,Small,2026-05-08,1015.2,Approved
354,2802,Retail,North,In-Store,Medium,2025-09-12,3377.5,Approved
355,2976,Grocery,West,Online,Medium,2025-12-12,637.41,Declined
356,1472,Travel,West,Online,Small,2026-06-08,7849.07,Declined
357,2969,Restaurant,South,Online,Small,2026-01-11,876.99,Approved
358,1150,Retail,West,In-Store,Small,2026-05-22,639.12,Approved
359,2438,Retail,South,In-Store,Small,2026-04-19,1570.52,Approved
360,2321,Retail,West,In-Store,Small,2026-01-31,941.01,Approved
361,2634,Retail,North,In-Store,Large,2026-02-20,1101.44,Approved
362,1262,Travel,North,Online,Large,2026-05-25,21294.13,Declined
363,2787,Electronics,North,In-Store,Small,2025-12-10,7185.04,Approved
364,1143,Grocery,North,Online,Medium,2025-08-18,2016.83,Approved
365,1345,Electronics,North,In-Store,Medium,2025-08-10,1375.78,Approved
366,1623,Electronics,West,Online,Medium,2025-10-02,3208.9,Approved
367,2016,Retail,North,Online,Small,2026-06-18,2882.26,Approved
368,2595,Retail,South,Online,Small,2026-06-22,1745.52,Approved
369,1880,Restaurant,West,Online,Small,2026-05-24,594.93,Approved
370,1001,Fuel,East,In-Store,Small,2026-02-25,2945.48,Approved
371,1896,Restaurant,North,Online,Medium,2025-12-25,1342.14,Approved
372,2327,Grocery,North,In-Store,Medium,2026-03-29,253.04,Declined
373,1253,Retail,West,Online,Small,2025-07-06,1405.59,Approved
374,2675,Fuel,East,In-Store,Small,2025-08-22,373.93,Approved
375,1452,Retail,East,In-Store,Medium,2025-12-25,1008.49,Approved
376,2060,Electronics,South,Online,Small,2025-09-26,4966.94,Approved
377,2183,Retail,North,In-Store,Medium,2025-07-24,2566.69,Approved
378,2014,Retail,East,In-Store,Large,2026-06-04,1863.41,Approved
379,1008,Travel,North,In-Store,Small,2026-05-31,7004.75,Approved
380,2256,Fuel,West,In-Store,Small,2026-01-08,1673.34,Approved
381,2122,Travel,East,In-Store,Medium,2025-10-28,2671.44,Approved
382,2682,Fuel,West,Online,Small,2025-10-06,3417.16,Approved
383,1815,Electronics,East,In-Store,Small,2026-04-11,6324.53,Approved
384,1207,Electronics,East,In-Store,Small,2026-03-04,6733.32,Approved
385,2154,Retail,East,In-Store,Small,2026-02-05,1601.34,Declined
386,1403,Retail,West,In-Store,Small,2026-05-16,1777.71,Approved
387,1151,Restaurant,North,In-Store,Small,2026-02-27,772.0,Approved
388,1053,Fuel,East,Online,Small,2026-05-12,2373.0,Approved
389,2143,Fuel,East,Online,Medium,2026-04-25,608.72,Declined
390,2696,Grocery,South,Online,Small,2026-03-04,1361.72,Approved
391,2943,Retail,East,In-Store,Small,2026-04-03,426.36,Approved
392,1627,Retail,,In-Store,Small,2026-03-08,1375.25,Approved
393,1586,Fuel,North,Online,Small,2026-03-24,3354.71,Approved
394,2648,Restaurant,West,In-Store,Medium,2025-08-22,605.72,Approved
395,2991,Electronics,West,Online,Small,2025-11-06,1469.34,Approved
396,2443,Retail,South,Online,Medium,2026-06-28,2047.79,Approved
397,2445,Retail,West,In-Store,Medium,2026-02-14,398.11,Approved
